Location Id,phone_number,street_address,street_address_2,city,state,zip_code,zip5,foreign_id,foreign_id_type,inactive,address,Latitude,Longitude,Location Name
777,9194667726,1203 NW Maynard Rd #1A,,Cary,NC,27513,27513,6,--DataSource-,FALSE,"1203 NW Maynard Rd #1A, , Cary NC27513",35.783969,-78.810733,[ARCHIVED] - Riccobene Associates Dentistry- Cary Family and Specialty
1741,5183731181,713 Pierce Rd,,Clifton Park,NY,12065,12065,3,--DataSource-,FALSE,"713 Pierce Rd, , Clifton Park NY12065",42.892242,-73.782359,[Archived] - THE Smile Lodge
1742,5183731181,713 Pierce Rd,,Clifton Park,NY,12065,12065,4,--DataSource-,FALSE,"713 Pierce Rd, , Clifton Park NY12065",42.892242,-73.782359,[Archived] - The Smile Lodge - 713 Pierce Rd
784,9197721463,5638 NC Hwy 42 Suite 109,,Garner,NC,27529,27529,13,--DataSource-,FALSE,"5638 NC Hwy 42 Suite 109, , Garner NC27529",35.60444,-78.569894,[ARCHIVED] BrushAndFloss Pediatrics - Garner
2123,2032556878,"1275 Post Road, Suite 201",,Fairfield,CT,6824,6824,1,remote_db-dentrix-DataSource-417,TRUE,"1275 Post Road, Suite 201, , Fairfield CT6824",41.142688,-73.25475,[ARCHIVED] Cosmetic And Reconstructive Dentistry
822,5165157310,"560 Northern Blvd, Ste 205",,Great Neck,NY,11021,11021,1000,--DataSource-,TRUE,"560 Northern Blvd, Ste 205, , Great Neck NY11021",40.781225,-73.717901,[ARCHIVED] Dental Korner
1529,6238457400,6544 W. Thomas Road Suite 8,,Phoenix,AZ,85033,85033,2,remote_db-dentrix-DataSource-197,TRUE,"6544 W. Thomas Road Suite 8, , Phoenix AZ85033",33.481685,-112.20277,[ARCHIVED] Diazo Dental
1164,2022969448,1234 19th St NW Suite 200,,Washington,DC,20036,20036,6,remote_db-dentrix-Location-1164,TRUE,"1234 19th St NW Suite 200, , Washington DC20036",38.906878,-77.043735,[Archived] District Dental DC
1727,9104553686,306-1 Dolphin Drive,,Jacksonville,NC,28456,28456,1,msg-eaglesoft-DataSource-265,TRUE,"306-1 Dolphin Drive, , Jacksonville NC28456",34.792627,-77.409551,[ARCHIVED] Dynamic Dental Dolphin
1726,9109384333,3301 Henderson Drive,,Jacksonville,NC,28456,28456,5,msg-eaglesoft-DataSource-266,TRUE,"3301 Henderson Drive, , Jacksonville NC28456",34.791941,-77.418145,[ARCHIVED] Dynamic Dental Henderson
1728,9107547850,988 Ocean Hwy West,,Supply,NC,28462,28462,988,msg-eaglesoft-DataSource-267,TRUE,"988 Ocean Hwy West, , Supply NC28462",34.007342,-78.302604,[ARCHIVED] Dynamic Dental Supply
1253,7758313466,231 Village Boulevard,,Incline Village,NV,89451,89451,1,msg-eaglesoft-DataSource-81,TRUE,"231 Village Boulevard, , Incline Village NV89451",39.246855,-119.95215,[ARCHIVED] Incline Dental Care LLC
2078,2122134029,1158 Broadway,,New York,NY,10001,10001,8,msg-opendental-DataSource-397,TRUE,"1158 Broadway, , New York NY10001",40.74458,-73.98871,[ARCHIVED] Midtown Dental Group - NoMad
919,2128647224,527 Manhattan Ave,,New York,NY,10027,10027,1,msg-eaglesoft-Location-919,TRUE,"527 Manhattan Ave, , New York NY10027",40.808786,-73.954281,[ARCHIVED] Morningside Dental Care
759,8709313337,809 Windover Rd,,Jonesboro,AR,72401,72401,111,msg-denticon-DataSource-1,FALSE,"809 Windover Rd, , Jonesboro AR72401",35.811953,-90.692528,[Archived] Pediatric Dentistry - Jonesboro
1942,2816477873,"19235 Katy Freeway, Suite 300",,Houston,TX,77094,77094,1,msg-opendental-DataSource-369,TRUE,"19235 Katy Freeway, Suite 300, , Houston TX77094",29.78427,-95.705495,[ARCHIVED] Pure Smiles
776,9198510011,"1000 Crescent Green Dr, Suite 200",,Cary,NC,27518,27518,5,msg-softdent-Location-776,FALSE,"1000 Crescent Green Dr, Suite 200, , Cary NC27518",35.73307,-78.777858,[Archived] Riccobene Associates Dentistry for Kids- Cary
778,3363319368,4168 Clemmons Rd,,Clemmons,NC,27012,27012,7,msg-softdent-Location-778,FALSE,"4168 Clemmons Rd, , Clemmons NC27012",36.019566,-80.408207,[ARCHIVED] Riccobene Associates Dentistry- Clemmons
769,9192469057,"1125 W North Carolina 54, Ste 807",,Durham,NC,27707,27707,1,--DataSource-,FALSE,"1125 W North Carolina 54, Ste 807, , Durham NC27707",35.918029,-78.958765,[Archived] Riccobene Associates Family Dentistry - Durham
1101,9108536201,3416 Melrose Road,,Fayetteville,NC,28304,28304,20,--DataSource-,FALSE,"3416 Melrose Road, , Fayetteville NC28304",35.033403,-78.936714,[ARCHIVED] Riccobene Associates Family Dentistry - Fayetteville Melrose
1102,9108642400,6950 Nexus Ct.,,Fayetteville,NC,28304,28304,21,--DataSource-,FALSE,"6950 Nexus Ct., , Fayetteville NC28304",35.036035,-79.012521,[ARCHIVED] Riccobene Associates Family Dentistry - Fayetteville Raeford
780,9192666999,1001 Widewaters Parkway,,Knightdale,NC,27545,27545,9,--DataSource-,FALSE,"1001 Widewaters Parkway, , Knightdale NC27545",35.795765,-78.502769,[ARCHIVED] Riccobene Associates Family Dentistry - Knightdale
1342,2529776440,105 Wayfarer Ct.,,Rocky Mount,NC,27801,27801,25,msg-eaglesoft-Location-1342,FALSE,"105 Wayfarer Ct., , Rocky Mount NC27801",35.930088,-77.773563,[ARCHIVED] Riccobene Associates Family Dentistry - Oakwood
1098,9198721000,"4400 Falls of Neuse Road, Suite 202",,Raleigh,NC,27609,27609,17,--DataSource-,FALSE,"4400 Falls of Neuse Road, Suite 202, , Raleigh NC27609",35.841641,-78.611504,[ARCHIVED] Riccobene Associates Family Dentistry - Raleigh Falls
773,9194667000,966 US Hwy 64,,Apex,NC,27523,27523,2,--DataSource-,FALSE,"966 US Hwy 64, , Apex NC27523",35.745998,-78.822807,[ARCHIVED] Riccobene Associates Family Dentistry- Apex
775,9198580088,"1000 Crescent Green Dr, Suite 202",,Cary,NC,27518,27518,4,--DataSource-,FALSE,"1000 Crescent Green Dr, Suite 202, , Cary NC27518",35.73307,-78.777858,[Archived] Riccobene Associates Family Dentistry- Cary
783,9196616161,"5638 NC Highway 42, Ste 214",,Garner,NC,27529,27529,12,--DataSource-,FALSE,"5638 NC Highway 42, Ste 214, , Garner NC27529",35.60444,-78.569894,[ARCHIVED] Riccobene Associates Family Dentistry- Garner
1212,3368542990,604 Dolley Madison Rd,,Greensboro,NC,27410,27410,22,msg-eaglesoft-Location-1212,FALSE,"604 Dolley Madison Rd, , Greensboro NC27410",36.08681,-79.883915,[ARCHIVED] Riccobene Associates Family Dentistry- Guilford
781,9199652552,1111 S Pollock St,,Selma,NC,27576,27576,10,--DataSource-,FALSE,"1111 S Pollock St, , Selma NC27576",35.527127,-78.294657,[Archived] Riccobene Associates Family Dentistry- Selma
1343,2524430048,3769 Sunset Ave.,,Rocky Mount,NC,27804,27804,26,msg-eaglesoft-Location-1343,FALSE,"3769 Sunset Ave., , Rocky Mount NC27804",35.963417,-77.857036,[ARCHIVED] Riccobene Assoociates Family Dentistry Sunset
760,4792710564,"1400 SE Walton Blvd, Ste 12",,Bentonville,AR,72712,72712,107,msg-denticon-DataSource-1,FALSE,"1400 SE Walton Blvd, Ste 12, , Bentonville AR72712",36.333956,-94.191485,[Archived] Rock Family Dental - Bentonville
